year,driverRef,constructorRef,grid,position,driverName,constructorName
2008,raikkonen,ferrari,2,1.0,Kimi Räikkönen,Ferrari
2008,kubica,bmw_sauber,4,2.0,Robert Kubica,BMW Sauber
2008,kovalainen,mclaren,8,3.0,Heikki Kovalainen,McLaren
2008,trulli,toyota,3,4.0,Jarno Trulli,Toyota
2008,hamilton,mclaren,9,5.0,Lewis Hamilton,McLaren
2008,heidfeld,bmw_sauber,5,6.0,Nick Heidfeld,BMW Sauber
2008,webber,red_bull,6,7.0,Mark Webber,Red Bull
2008,alonso,renault,7,8.0,Fernando Alonso,Renault
2008,coulthard,red_bull,12,9.0,David Coulthard,Red Bull
2008,button,honda,11,10.0,Jenson Button,Honda
2008,piquet_jr,renault,13,11.0,Nelson Piquet Jr.,Renault
2008,fisichella,force_india,17,12.0,Giancarlo Fisichella,Force India
2008,barrichello,honda,14,13.0,Rubens Barrichello,Honda
2008,rosberg,williams,16,14.0,Nico Rosberg,Williams
2008,davidson,super_aguri,21,15.0,Anthony Davidson,Super Aguri
2008,sato,super_aguri,19,16.0,Takuma Sato,Super Aguri
2008,nakajima,williams,22,17.0,Kazuki Nakajima,Williams
2007,alonso,mclaren,2,1.0,Fernando Alonso,McLaren
2007,hamilton,mclaren,4,2.0,Lewis Hamilton,McLaren
2007,raikkonen,ferrari,3,3.0,Kimi Räikkönen,Ferrari
2007,heidfeld,bmw_sauber,5,4.0,Nick Heidfeld,BMW Sauber
2007,massa,ferrari,1,5.0,Felipe Massa,Ferrari
2007,fisichella,renault,12,6.0,Giancarlo Fisichella,Renault
2007,trulli,toyota,8,7.0,Jarno Trulli,Toyota
2007,kovalainen,renault,11,8.0,Heikki Kovalainen,Renault
2007,wurz,williams,19,9.0,Alexander Wurz,Williams
2007,webber,red_bull,10,10.0,Mark Webber,Red Bull
2007,barrichello,honda,22,11.0,Rubens Barrichello,Honda
2007,button,honda,15,12.0,Jenson Button,Honda
2007,sato,super_aguri,14,13.0,Takuma Sato,Super Aguri
2007,speed,toro_rosso,17,14.0,Scott Speed,Toro Rosso
2007,ralf_schumacher,toyota,9,15.0,Ralf Schumacher,Toyota
2007,davidson,super_aguri,18,16.0,Anthony Davidson,Super Aguri
2007,liuzzi,toro_rosso,16,17.0,Vitantonio Liuzzi,Toro Rosso
2007,kubica,bmw_sauber,7,18.0,Robert Kubica,BMW Sauber
2006,fisichella,renault,1,1.0,Giancarlo Fisichella,Renault
2006,alonso,renault,7,2.0,Fernando Alonso,Renault
2006,button,honda,2,3.0,Jenson Button,Honda
2006,montoya,mclaren,5,4.0,Juan Pablo Montoya,McLaren
2006,massa,ferrari,21,5.0,Felipe Massa,Ferrari
2006,michael_schumacher,ferrari,14,6.0,Michael Schumacher,Ferrari
2006,villeneuve,bmw_sauber,10,7.0,Jacques Villeneuve,BMW Sauber
2006,ralf_schumacher,toyota,22,8.0,Ralf Schumacher,Toyota
2006,trulli,toyota,9,9.0,Jarno Trulli,Toyota
2006,barrichello,honda,20,10.0,Rubens Barrichello,Honda
2006,liuzzi,toro_rosso,13,11.0,Vitantonio Liuzzi,Toro Rosso
2006,albers,mf1,15,12.0,Christijan Albers,MF1
2006,monteiro,mf1,16,13.0,Tiago Monteiro,MF1
2006,sato,super_aguri,17,14.0,Takuma Sato,Super Aguri
2005,alonso,renault,1,1.0,Fernando Alonso,Renault
