year,positionOrder,driver_name,nationality,name,points,laps,fastestLap,fastestLapTime
1999,1,Eddie Irvine,British,Ferrari,10.0,56,\N,\N
1999,2,Michael Schumacher,German,Ferrari,6.0,56,\N,\N
1999,3,Mika Häkkinen,Finnish,McLaren,4.0,56,\N,\N
2000,1,Michael Schumacher,German,Ferrari,10.0,56,\N,\N
2000,2,David Coulthard,British,McLaren,6.0,56,\N,\N
2000,3,Rubens Barrichello,Brazilian,Ferrari,4.0,56,\N,\N
2001,1,Michael Schumacher,German,Ferrari,10.0,55,\N,\N
2001,2,Rubens Barrichello,Brazilian,Ferrari,6.0,55,\N,\N
2001,3,David Coulthard,British,McLaren,4.0,55,\N,\N
2002,1,Ralf Schumacher,German,Williams,10.0,56,\N,\N
2002,2,Juan Pablo Montoya,Colombian,Williams,6.0,56,\N,\N
2002,3,Michael Schumacher,German,Ferrari,4.0,56,\N,\N
2003,1,Kimi Räikkönen,Finnish,McLaren,10.0,56,\N,\N
2003,2,Rubens Barrichello,Brazilian,Ferrari,8.0,56,\N,\N
2003,3,Fernando Alonso,Spanish,Renault,6.0,56,\N,\N
2004,1,Michael Schumacher,German,Ferrari,10.0,56,6,1:34.819
2004,2,Juan Pablo Montoya,Colombian,Williams,8.0,56,28,1:34.223
2004,3,Jenson Button,British,BAR,6.0,56,28,1:34.967
2005,1,Fernando Alonso,Spanish,Renault,10.0,56,18,1:35.899
2005,2,Jarno Trulli,Italian,Toyota,8.0,56,18,1:35.816
2005,3,Nick Heidfeld,German,Williams,6.0,56,40,1:35.712
2006,1,Giancarlo Fisichella,Italian,Renault,10.0,56,16,1:35.294
2006,2,Fernando Alonso,Spanish,Renault,8.0,56,45,1:34.803
2006,3,Jenson Button,British,Honda,6.0,56,35,1:35.604
2007,1,Fernando Alonso,Spanish,McLaren,10.0,56,42,1:36.861
2007,2,Lewis Hamilton,British,McLaren,8.0,56,22,1:36.701
2007,3,Kimi Räikkönen,Finnish,Ferrari,6.0,56,40,1:37.228
2008,1,Kimi Räikkönen,Finnish,Ferrari,10.0,56,37,1:35.405
2008,2,Robert Kubica,Polish,BMW Sauber,8.0,56,39,1:35.921
2008,3,Heikki Kovalainen,Finnish,McLaren,6.0,56,19,1:35.922
2009,1,Jenson Button,British,Brawn,5.0,31,18,1:36.641
2009,2,Nick Heidfeld,German,BMW Sauber,4.0,31,17,1:39.084
2009,3,Timo Glock,German,Toyota,3.0,31,18,1:39.406
2010,1,Sebastian Vettel,German,Red Bull,25.0,56,53,1:37.813
2010,2,Mark Webber,Australian,Red Bull,18.0,56,53,1:37.054
2010,3,Nico Rosberg,German,Mercedes,15.0,56,53,1:38.129
2011,1,Sebastian Vettel,German,Red Bull,25.0,56,33,1:41.539
2011,2,Jenson Button,British,McLaren,18.0,56,50,1:41.264
2011,3,Nick Heidfeld,German,Renault,15.0,56,47,1:41.547
2012,1,Fernando Alonso,Spanish,Ferrari,25.0,56,53,1:41.680
2012,2,Sergio Pérez,Mexican,Sauber,18.0,56,54,1:41.021
2012,3,Lewis Hamilton,British,McLaren,15.0,56,50,1:41.539
2013,1,Sebastian Vettel,German,Red Bull,25.0,56,45,1:40.446
2013,2,Mark Webber,Australian,Red Bull,18.0,56,45,1:40.685
2013,3,Lewis Hamilton,British,Mercedes,15.0,56,32,1:41.001
2014,1,Lewis Hamilton,British,Mercedes,25.0,56,53,1:43.066
2014,2,Nico Rosberg,German,Mercedes,18.0,56,55,1:43.960
2014,3,Sebastian Vettel,German,Red Bull,15.0,56,51,1:44.289
2015,1,Sebastian Vettel,German,Ferrari,25.0,56,46,1:43.648
2015,2,Lewis Hamilton,British,Mercedes,18.0,56,45,1:43.125
2015,3,Nico Rosberg,German,Mercedes,15.0,56,43,1:42.062
2016,1,Daniel Ricciardo,Australian,Red Bull,25.0,56,44,1:37.449
2016,2,Max Verstappen,Dutch,Red Bull,18.0,56,44,1:37.376
2016,3,Nico Rosberg,German,Mercedes,15.0,56,44,1:36.424
2017,1,Max Verstappen,Dutch,Red Bull,25.0,56,50,1:34.467
2017,2,Lewis Hamilton,British,Mercedes,18.0,56,48,1:34.452
2017,3,Daniel Ricciardo,Australian,Red Bull,15.0,56,55,1:34.770
